Codigo;Nome do Produto;Quantidade;Valor Unitario;Valor Total;Codigo Interno
015006;CX DESINFETANTE ECONOMICO 2LT;12;7.5;90;635
015277;CX LAVA LOUCAS ECONOMICO 500ML 24UND;48;2.1;100.8;1893
9691;PC SABAO PO TIXAN YPE 500G;48;5.25;252;629
015009;FD ACUCAR CAUAXI 30KG;30;4.2;126;622
022316;CX CAFE MARATA 250G;40;8.75;350;621
023216;CX COPO CRISTALCOPO 150ML;4;118.75;475;649
6181;VASSOURA TRADICIONAL GRANDE;10;9.2;92;2857
7891024194249;DESINFETANTE PINHO SOL ORIGINAL 500ML;12;7.1;85.2;635
7896001004511;ESPONJA BRILHUS MULTIUSO 109MM;34;0.8;27.2;4279
7896213006235;BISCOITO CREAM CRACKER TRADICIONAL VITARELLA 350G;17;5.9;100.3;4464
7891035991141;BOM AR AROMA SENSE ALEGRIA ROSA MACA 360ML;6;16.99;101.94;1223
7898014282931;PANO DE CHAO TAMER 45X65CM;40;6.75;270;4997
7898962669020;SABAO PRINCESA DO MEARIM 500G;16;4.55;72.8;1222
7898210040656;VINAGRE ALCOOL DO CARLITO 750ML;5;2.5;12.5;625
7897312403321;SACOS PARA LIXO POE LIXO 15LT;36;3;108;340
7897312402966;SACOS PARA LIXO POE LIXO 100LT;39;3.6;140.4;1800
7896369612045;MOLHO SHOYU MARIZA 900ML;3;9.95;29.85;1804
7897312403338;SACOS PARA LIXO POE LIXO 30LT;37;3;111;1802
7896369618313;AZEITE DE OLIVA EXTRA VIRGEM FRUTA SUL 500ML;5;39.1;195.5;4289
7899567002199;FILME ULTRAPLAST PVC 280MM X 15MT;3;3.5;10.5;1049
7898929966216;LEITE PO CCGL INTEGRAL 1KG;2;36.99;73.98;1843
2634;PILHA PANASONIC PALITO AAA;24;1.65;39.6;1381
7897312401280;AGUA SANITARIA ECONOMICA BRANCO TOTAL 2LT;8;5.2;41.6;4466
7897312400887;DESINFETANTE ECONMICO JASMIM 2LT;1;6.85;6.85;4814
7896098900215;LAVA LOUCAS YPE MACA 500ML;5;2.8;14;1893
7896013103400;AMACIANTE SONHO MAGIC 1.5LT;3;9;27;633
7898935659010;ACUCAR CRISTAL CAUAXI 1KG;16;4.2;67.2;622
7506195143872;AMACIANTE FRESCOR DA PRIMAVERA DOWNY 500ML;2;11.99;23.98;4994
7898286200060;CAFE MARATA ALMOFADA 250G;4;8.75;35;621
7896006412656;PAPEL HIGIENICO FLORAL NEUTRO 4UND;7;3.99;27.93;3324
7896098909782;SABAO EM PO PRIMAVERA TIXAN YPE 400G;36;5.25;189;629
7898198250948;PRENDEDOR DE PLASTICO AGUIA BRANCA 12UND;3;2.95;8.85;2100
