Codigo;Nome do Produto;Quantidade;Valor Unitario;Valor Total;Codigo Interno
15997;FD ACUCAR CRISTAL MESTRE CUCA 30KG;2;119.7;239.4;622
22316;CX CAFE MARATA 250G;3;175;525;621
23216;CX COPO CRISTALCOPO 150ML;3;118.75;356.25;649
16309;CX LAVA LOUCAS FC 500ML;3;45;135;1893
8577;CX AGUA SANITARIA ECONOMICA 1LT;2;32.4;64.8;636
9691;PC SABAO PO TIXAN YPE 500G;2;134.4;268.8;629
8230;PC AGUA MINERAL POLAR 12UND 350ML;14;9.99;139.86;4286
7,89895E+12;VASSOURA D;2;15.15;30.3;2857
17380;RODO DESOMIX PLASTICO 30CM;1;6;6;753
7,896E+12;ESPONJA BRILHUS MULTIUSO 109MM;24;0.8;19.2;4279
7,89859E+12;PANO DE CHAO ECO TEXTIL 42CM X 65CM;100;6.75;675;4814
7,89895E+12;FLANELA UNIAO TEXTIL 28CM X 38CM;3;2;6;4815
7,89731E+12;SACOS PARA LIXO POE LIXO 100LT;43;3.6;154.8;1800
7,89731E+12;SACOS PARA LIXO POE LIXO 15LT;24;3;72;340
7,89731E+12;SACOS PARA LIXO POE LIXO 30LT;41;3;123;1802
7,89637E+12;MOLHO SHOYU MARIZA 900ML;4;9.95;39.8;1804
7,89637E+12;AZEITE DE OLIVA EXTRA VIRGEM FRUTA SUL 500ML;4;39.1;156.4;4289
7,89859E+12;COADOR DE CAFE ECO TEXTIL;2;1.75;3.5;759
7,89896E+12;COLHER DESCARTAVEL REFEICAO BRANCA CROPAC 50UND;3;3.75;11.25;3602
7,89893E+12;LEITE PO CCGL INTEGRAL 1KG;2;36.99;73.98;1843
7,89621E+12;BISCOITO CREAM CRACKER TRADICIONAL VITARELLA 350G;15;5.9;88.5;4464
7,89659E+12;BISCOITO ROSQUINHAS TRIGOLINO LEITE 300G;6;4.5;27;657
7,89892E+12;SABAO KAROL PINTADO BARRA 500G;8;4.5;36;1222
7,89957E+12;FILME ULTRAPLAST PVC 280MM X 15MT;3;3.5;10.5;1049
7,89104E+12;BOM AR AROMA SENSE ALEGRIA ROSA MACA 360ML;5;16.99;84.95;1223
7,89106E+12;ESCOVA ROUPAS MADEIRA CONDOR;2;3;6;1894
15006;CX DESINFETANTE ECONOMICO 2LT;4;45;180;635
7,89731E+12;AGUA SANITARIA ECONOMICA BRANCO TOTAL 2LT;4;5.2;20.8;4466
7,89731E+12;DESINFETANTE ECONOMICO FLORAL 2LT;5;6.8;34.1;635
7,8961E+12;LAVA LOUCAS YPE NEUTRO 500ML;5;2.8;14;1893
7,89102E+12;LA DE ACO BOMBRIL 60G;1;2.9;2.9;2248
7,89788E+12;SABAO MARMORE PINTADO BARRA 500G;2;4.2;8.4;1222
7,89601E+12;PAPEL HIGIENICO FLORAL PERFUMADO 4UND;13;3.99;51.87;3324
7,50044E+12;AMACIANTE PERFUME INTENSO DOWNY 500ML;1;11.99;11.99;633
7,8961E+12;AMACIANTE DE ROUPAS YPE ACONCHEGO 2LT;3;12.7;38.1;4467
7,8961E+12;SABAO EM PO PRIMAVERA TIXAN YPE 400G;36;5.25;189;629
7,89829E+12;CAFE MARATA ALMOFADA 250G;16;8.75;140;621
7,89813E+12;MANTEIGA TOURINHO COMUM COM SAL 500G;2;32.55;64.3;756
7,89893E+12;LEITE PO CCGL INTEGRAL 200G;12;6.99;86.16;1843
7,89822E+12;LEITE INTEGRAL PIRACANJUBA 1LT;12;6.99;83.88;624
7,89894E+12;ACUCAR CRISTAL CAUAXI 1KG;11;3.99;45.57;622
2635;PILHA PANASONIC PEQUENA AA;20;1.35;27;1043
2634;PILHA PANASONIC PALITO AAA;20;1.65;33;1381
7,8949E+12;REF FANTA UVA 2LT;1;9.5;9.5;4470
7,89711E+12;REF TUCHAUA GUARANA 2LT;1;6.99;6.99;4817
7,89196E+12;PAO DE FORMA INTEGRAL BAUDUCCO 390G;3;9.99;29.97;659
91;PRESUNTO SUINO PERDIGAO KG;0.716;34.99;25.05;637
