Codigo;Nome do Produto;Quantidade;Valor Unitario;Valor Total;Codigo Interno
20180005;VARETA TIG ACO CARBONO E70S-3 3,18MM - 111002822;50;21.67;1083.5;2606
20630147;ELETRODO OM-OURO 18 3,25MM * - 010171832517;90;21.44;1929.6;1357
20630146;ELETRODO OM-OURO 18 2,50MM * - 010171825017;54;25;1350;1180
20210010;"ELETRODO TUNGSTENIO C/ TORIO  3/32"" - 2,40MM X 150MM - 012.0185";50;8.38;419;1515
20230615;PINCA HW-26 2,4MM TC-212 - I - TC-212;40;2.64;105.6;5066
20230609;CORPO FIXADOR HW-26 2,4MM TB-062 - I - TB-062;20;5.49;109.8;2754
20230262;TOCHA TIG HW-26 C/VALVULA  ENGATE 13MM TI942### - TI-942;2;347.95;695.9;5079
20180009;VARETA TIG INOX PLUS 316L - 1,6MM - 900004346;20;103;2060;5067
20030022;VARETA TIG INOX SOLDEX 308L - 2,00MM - 308L;50;49.5;2475;5068
20030045;VARETA TIG INOX SOLDEX 309L - 2,40MM - 309L;30;76.13;2283.9;5069
40550021;"ESCOVA ACO INOX P/ ESMERILHADEIRA TRANCADA 4.1/2X1/2"" - 701-12-00003";50;36.89;1844.5;5070
40550001;ESCOVA MANUAL ACO INOX 1777/3 C/ CABO - 177-12-00001;20;12.68;253.6;5071
10080015;"MANGUEIRA SOLDEX AR PRETA   5/16"" 300L - 372024200";60;3.25;195;3175
41610004;"DISCO CORTE TYROLIT  7""X1,6X7/8"" A46Q BFXA SECUR * - 557559";200;9.74;1948;1026
40540316;"DISCO CORTE NORTON ZIP  4.1/2""X3/64X7/8 BNA-12 EXTRA FINO /P * - 66252846557";200;6.31;1262;831
10060024;DECAPANTE GEL AMAZONIA POTE - 1,500 KG - AMZ;5;65.64;328.2;1364
20210026;PORTA ELETRODO CARBOGRAFITE C-1000 - 010062010;5;85.6;428;3083
60910191;MASCARA CELERON VISOR FIXO C/ REGULAGEM S/CATRACA - 010040110;2;118.82;237.64;1404
10080002;MANGUEIRA GEMEA SOLDEX 5/16 OXIGENIO C/ ACETILENO-GLP - 374029213;20;7.69;153.8;2976
11020163;MACARICO CORTE HARRIS C-531 BR-531 ### - 720201344;2;448.5;897;1124
11020135;BICO CORTE HARRIS 1503 N 06 - 630200014;10;35.93;359.3;1126
20030042;LIMPADOR BICO C/ CAIXA SOLDEX TC-08 - 80;5;11.3;56.5;5072
60930082;LUVA SOLDA TIG - VAQUETA PETROLEIRA PUNHO RASPA 20CM - VD-20CR;50;24.79;1239.5;5073
40540168;"DISCO DESBASTE NORTON BDA 530 4.1/2""X3/16X7/8 SUPER INOX /P * - 66252842938";100;11.02;1102;833
40540009;"DISCO DESBASTE NORTON BDA 640 7""X1/4X7/8 /P * - 66252842859";100;19.34;1934;1183
41200010;DISCO FLAP SUPER SIL 4.1/2X7/8 G.060 - SIL;100;9.13;913;5074
41200014;"DISCO FLAP SUPER SIL 7""X7/8 G.060 - SIL";100;21.81;2181;4852
